from_id,to_id,relationship_type,confidence,map_source,notes
P001,SP001,HAS_SUBPILLAR,1.0,canonical,
P001,SP002,HAS_SUBPILLAR,1.0,canonical,
P001,SP003,HAS_SUBPILLAR,1.0,canonical,
P002,SP004,HAS_SUBPILLAR,1.0,canonical,
P002,SP005,HAS_SUBPILLAR,1.0,canonical,
P002,SP006,HAS_SUBPILLAR,1.0,canonical,
P003,SP007,HAS_SUBPILLAR,1.0,canonical,
P003,SP008,HAS_SUBPILLAR,1.0,canonical,
P004,SP009,HAS_SUBPILLAR,1.0,canonical,
P004,SP010,HAS_SUBPILLAR,1.0,canonical,
P004,SP011,HAS_SUBPILLAR,1.0,canonical,
P005,SP012,HAS_SUBPILLAR,1.0,canonical,
P005,SP013,HAS_SUBPILLAR,1.0,canonical,
P005,SP014,HAS_SUBPILLAR,1.0,canonical,
P006,SP015,HAS_SUBPILLAR,1.0,canonical,
P006,SP016,HAS_SUBPILLAR,1.0,canonical,
P006,SP017,HAS_SUBPILLAR,1.0,canonical,
SP001,RA001,HAS_RESEARCH_AREA,1.0,canonical,
SP001,RA002,HAS_RESEARCH_AREA,1.0,canonical,
SP001,RA003,HAS_RESEARCH_AREA,1.0,canonical,
SP002,RA004,HAS_RESEARCH_AREA,1.0,canonical,
SP002,RA005,HAS_RESEARCH_AREA,1.0,canonical,
SP002,RA006,HAS_RESEARCH_AREA,1.0,canonical,
SP003,RA007,HAS_RESEARCH_AREA,1.0,canonical,
SP003,RA008,HAS_RESEARCH_AREA,1.0,canonical,
SP003,RA009,HAS_RESEARCH_AREA,1.0,canonical,
SP004,RA010,HAS_RESEARCH_AREA,1.0,canonical,
SP004,RA011,HAS_RESEARCH_AREA,1.0,canonical,
SP004,RA012,HAS_RESEARCH_AREA,1.0,canonical,
SP005,RA013,HAS_RESEARCH_AREA,1.0,canonical,
SP005,RA014,HAS_RESEARCH_AREA,1.0,canonical,
SP005,RA015,HAS_RESEARCH_AREA,1.0,canonical,
SP006,RA016,HAS_RESEARCH_AREA,1.0,canonical,
SP006,RA017,HAS_RESEARCH_AREA,1.0,canonical,
SP006,RA018,HAS_RESEARCH_AREA,1.0,canonical,
SP007,RA019,HAS_RESEARCH_AREA,1.0,canonical,
SP007,RA020,HAS_RESEARCH_AREA,1.0,canonical,
SP007,RA021,HAS_RESEARCH_AREA,1.0,canonical,
SP008,RA022,HAS_RESEARCH_AREA,1.0,canonical,
SP008,RA023,HAS_RESEARCH_AREA,1.0,canonical,
SP008,RA024,HAS_RESEARCH_AREA,1.0,canonical,
SP009,RA025,HAS_RESEARCH_AREA,1.0,canonical,
SP009,RA026,HAS_RESEARCH_AREA,1.0,canonical,
SP009,RA027,HAS_RESEARCH_AREA,1.0,canonical,
SP010,RA028,HAS_RESEARCH_AREA,1.0,canonical,
SP010,RA029,HAS_RESEARCH_AREA,1.0,canonical,
